"","Participant_ID","session_id","age","major","gender","Openness","Conscientiousness","Extraversion","Agreeableness","Neuroticism","Intrinsic","Mood","NFC","SelfEsteem"
"1681","169",7559366,19,"Psychology","1",5,4.5,2,4,4.5,3.2,6,3.5,1
"1682","17",7482039,24,"PSYCHOLOGY","1",7,6.5,6,4,1,3.6,6,4,6
"1683","170",7559494,20,NA,"1",4.5,4,3.5,3.5,5,2.666666667,5,2,7
"1684","171",7559566,20,"Psych/Bio (Pre-Med)","1",7,6.5,6,6,3.5,3.533333333,6,4.5,6
"1685","172",7562903,21,"psychology","1",6.5,5,1,5,4,2.866666667,4,3,4
"1686","173",7562913,18,"Psychology","1",4.5,7,5,3,2.5,3.133333333,4,3.666666667,5
"1687","174",7563016,18,"psychology","1",6,5,6.5,6.5,2,2.2,6,2.333333333,7
"1688","175",7563017,25,"Psychology","1",6,6,4,4.5,3.5,3.2,6,3,5
"1689","176",7563192,20,"Sociology","2",4.5,4.5,4,4.5,4.5,2,4,3.5,5
"1690","177",7563193,19,"Pre-Business","1",7,7,5.5,5,5,3.8,6,4,6
"1691","178",7563668,21,"Psychology","2",6,6,3,6,5.5,2.866666667,4,3,4
"1692","179",7563783,18,"Undeclared","1",4.5,5,5,5.5,3,2.533333333,4.5,2.666666667,5
"1693","18",7483590,18,"Global Studies","1",5.5,6,1,4.5,5,3,3,3.5,3
"1694","180",7563784,20,"Sociology","1",5,5.5,2.5,5.5,1.5,3.133333333,6,3.166666667,4
"1695","181",7563875,19,"Linguistics","1",5,5.5,1.5,3.5,6,2.6,3,2.833333333,2
"1696","182",7563874,18,"psychology","1",5,6,1,5,3,2.4,7,2.833333333,6
"1697","183",7564112,19,"Undeclared","1",4.5,6,2.5,3.5,2.5,3.266666667,6,3.5,5
"1698","184",7567381,18,"CHASS undeclared","1",5,4.5,1,5.5,3,2.466666667,4,3.166666667,3
"1699","185",7567597,21,"psychology","1",5.5,6.5,6.5,6,4,2.666666667,5.5,3.166666667,7
"1700","186",7567839,19,"Computer Science","2",4.5,5,1.5,5,2,2.533333333,4,3.5,3
"1701","187",7568258,18,"Psychology","1",5.5,6,4.5,5,3,2.4,4.5,2.833333333,5
"1702","188",7568471,22,"Chemical Engineering","2",6,6.5,4,4,3.5,2.933333333,7,3.833333333,5
"1703","189",7568473,26,"Psychology","2",6.5,5.5,1.5,4,2,3.733333333,5,4.166666667,6
"1704","190",7568615,19,"Business Economics","2",3,5.5,1,3.5,2.5,2,6,3.166666667,5
"1705","191",7568616,21,"psychology and philosophy","2",5.5,6,3.5,4.5,1.5,3.133333333,4.5,3.166666667,5
"1706","192",7570403,19,"undeclared","1",6,3.5,4.5,4.5,4,3.333333333,4,3.5,4
"1707","193",7570585,18,"Pre-Business","1",6,7,3,4,3,3.133333333,6,2.666666667,5
"1708","194",7570703,18,"Pre-Business","1",4.5,6,4.5,6.5,5,2.8,6,2.833333333,6
"1709","195",7570704,18,"Microbiology","1",4,4,5.5,6,4.5,3.066666667,4,2.833333333,6
"1710","196",7572849,18,"Pre-Business","2",5.5,6.5,3,6,1.5,3.066666667,5,3.5,5
"1711","197",7573248,19,"Computer Science","2",2,4,2.5,3,3,1.933333333,5,2.833333333,3
"1712","198",7573249,21,"PSYCHOLOGY","1",5.5,7,6,3,4,3.333333333,6,3.333333333,7
"1713","199",7573357,22,"Asian Studies (Comparative Track)","1",6.5,4.5,1.5,6,2.5,3.333333333,6,3.5,5
"1714","20",7483896,18,"Psychology","1",5.5,4.5,5,4.5,2.5,3.266666667,5,3,6
"1715","200",7573466,19,"Biochemistry","2",4.5,5.5,1.5,4,3.5,2.533333333,5,3.166666667,5
"1716","201",7574442,42,"psychology","1",6.5,7,6,5,3,3.466666667,7,3.833333333,6
"1717","202",7574439,18,"Sociology","1",4.5,6.5,6.5,5,3.5,2.666666667,6,3.5,6
"1718","203",7574548,18,"Psychology","2",5,5.5,4.5,4.5,2.5,2.8,6,3.5,6
"1719","204",7574579,19,"biology","1",4,6,5,5,2.5,2.666666667,5,3.333333333,5
"1720","205",7574757,21,"psychology","1",4,7,2.5,5,3,2.533333333,6.5,3.166666667,5
"1721","207",7574897,19,"Economics","2",3,5,1.5,5.5,3.5,2.333333333,5,3,2
"1722","208",7574956,18,"History","1",5.5,4,3.5,3.5,3,3.333333333,5,3.5,5
"1723","209",7574959,18,"Computer Science","2",4,6.5,3,4,2.5,2.533333333,6,3,5
"1724","21",7484199,19,"Sociology","1",5.5,5.5,3.5,4,4.5,3,5,3.166666667,5
"1725","210",7575010,19,"Bio-Chemistry","1",5,5.5,4,3.5,3,2.933333333,6,3.333333333,6
"1726","211",7578597,18,"undecided","1",6,5.5,2.5,5,4.5,2.933333333,4.5,3.166666667,4
"1727","212",7578592,18,"Sociology","1",5.5,7,4.5,4,2.5,2.6,6.5,3.833333333,5
"1728","213",7578672,22,"psychology","2",5,6,4.5,4.5,2.5,2.933333333,6,3,6
"1729","214",7578671,19,"Biochemistry","2",4.5,6.5,4,5.5,3,3.066666667,4.5,3.166666667,5
"1730","215",7578802,19,"Computer Science","1",3.5,2.5,2.5,3.5,4.5,2.733333333,3.5,3,2
